PID,Property Address,Property City,House Type,Sale Price(USD),Sale Date,Latitude,Longitude,Zone,,
224,2417  PLEASANT SPRINGS  LN,HERMITAGE,SINGLE FAMILY,350000,9/15/2021,36.2218983,-86.5929125,7,,
225,503 A BEN ALLEN  RD,NASHVILLE,SINGLE FAMILY,405500,9/2/2021,36.2218648,-86.7456176,6,,
226,204  HODGE  CIR,NASHVILLE,SINGLE FAMILY,375000,9/20/2021,36.2217224,-86.8471504,4,,
227,410  HUNTERS  PL,HERMITAGE,RESIDENTIAL CONDO,222000,9/17/2021,36.221671,-86.597189,7,,
228,308  BRANDIWOOD  CT,OLD HICKORY,SINGLE FAMILY,322000,9/7/2021,36.2215074,-86.6273121,7,,
229,2436  PLEASANT SPRINGS  LN,HERMITAGE,SINGLE FAMILY,320000,9/1/2021,36.2212761,-86.5921332,7,,
230,814  BEXHILL  CT N,HERMITAGE,SINGLE FAMILY,316000,9/2/2021,36.2210382,-86.6001718,7,,
231,624  CATO RIDGE  LN,NASHVILLE,SINGLE FAMILY,325000,9/23/2021,36.2205103,-86.876936,4,,
232,926  CURDWOOD  BLVD,NASHVILLE,SINGLE FAMILY,580000,9/16/2021,36.2204926,-86.7314802,6,,
233,3851  SAUNDERS  AVE,NASHVILLE,SINGLE FAMILY,389000,9/24/2021,36.2203953,-86.7356848,6,,
234,1890  BROOKMEADOW  LN,HERMITAGE,SINGLE FAMILY,350000,9/24/2021,36.2203324,-86.5931972,7,,
235,600  HARDIN SHIRE  DR,OLD HICKORY,SINGLE FAMILY,303800,9/8/2021,36.2199896,-86.6277924,7,,
236,4606  CONWAY  CT,OLD HICKORY,SINGLE FAMILY,305000,9/20/2021,36.219981,-86.6257369,7,,
237,1208  WEMBLEY  DR,HERMITAGE,SINGLE FAMILY,333000,9/22/2021,36.2199618,-86.6010386,7,,
238,1044  RAMBLING BROOK  RD,NASHVILLE,SINGLE FAMILY,361000,9/21/2021,36.2197262,-86.8671597,4,,
239,1849  BROOKMEADOW  LN,HERMITAGE,SINGLE FAMILY,342500,9/17/2021,36.2197239,-86.5926455,7,,
240,4726  CASCADE  DR,OLD HICKORY,ZERO LOT LINE,217000,9/14/2021,36.219492,-86.589831,7,,
241,4307  WOODS  ST,OLD HICKORY,SINGLE FAMILY,125000,9/20/2021,36.2192641,-86.6232066,7,,
242,1318   CARDINAL  AVE,NASHVILLE,RESIDENTIAL CONDO,499000,9/16/2021,36.2188161,-86.7150515,6,,
243,1317   GREENLAND  AVE,NASHVILLE,VACANT RESIDENTIAL LAND,125000,9/23/2021,36.2186832,-86.715185,6,,
244,3325  KINGS  LN,NASHVILLE,SINGLE FAMILY,211000,9/23/2021,36.2185207,-86.8349174,4,,
245,3325  KINGS  LN,NASHVILLE,SINGLE FAMILY,180000,9/23/2021,36.2185207,-86.8349174,4,,
246,312  GRIFFIN  PL,HERMITAGE,RESIDENTIAL CONDO,287000,9/20/2021,36.2183746,-86.59434,7,,
247,3328  BROME  LN,NASHVILLE,SINGLE FAMILY,440000,9/16/2021,36.2181566,-86.8641549,4,,
248,3808   HUTSON  AVE,NASHVILLE,RESIDENTIAL CONDO,475000,9/22/2021,36.2179737,-86.7415912,6,,
249,2738  COMBS  DR,NASHVILLE,SINGLE FAMILY,307000,9/13/2021,36.2179605,-86.7930587,4,,
250,729  RINGGOLD  DR,NASHVILLE,SINGLE FAMILY,265000,9/7/2021,36.2178095,-86.8128352,4,,
251,4333  EATONS CREEK  RD,NASHVILLE,SINGLE FAMILY,415000,9/22/2021,36.21768,-86.86633,4,,
252,2801  DICKERSON  PIKE,NASHVILLE,SPLIT CLASS,660000,9/15/2021,36.2174341,-86.762397,6,,
253,3825  BURRUS  ST,NASHVILLE,SINGLE FAMILY,330000,9/2/2021,36.217104,-86.7330128,6,,
254,1219  ARDEE  AVE,NASHVILLE,SINGLE FAMILY,297000,9/10/2021,36.2170625,-86.722166,6,,
255,765  JAYWOOD  DR,OLD HICKORY,SINGLE FAMILY,299000,9/7/2021,36.2170412,-86.6311318,7,,
256,1213  NORVEL  AVE,NASHVILLE,SINGLE FAMILY,300000,9/2/2021,36.2170406,-86.7260177,6,,
257,777  JAYWOOD  DR,OLD HICKORY,SINGLE FAMILY,366800,9/4/2021,36.216887,-86.6317919,7,,
258,1333  MCALPINE  AVE,NASHVILLE,SINGLE FAMILY,281100,9/16/2021,36.2161187,-86.7155232,6,,
259,797  GILLOCK  ST,NASHVILLE,SINGLE FAMILY,499900,9/10/2021,36.2159856,-86.7354883,6,,
260,1461  AARONWOOD  DR,OLD HICKORY,SINGLE FAMILY,379000,9/10/2021,36.2158288,-86.6272946,7,,
261,100  CHITWOOD  CT,OLD HICKORY,SINGLE FAMILY,380000,9/14/2021,36.2157699,-86.6250674,7,,
262,2841  OLD MATTHEWS  RD,NASHVILLE,SINGLE FAMILY,285700,9/16/2021,36.2154522,-86.7950799,4,,
263,1437  AARONWOOD  DR,OLD HICKORY,SINGLE FAMILY,343000,9/14/2021,36.2152103,-86.6263017,7,,
264,636  REHNEA  DR,OLD HICKORY,SINGLE FAMILY,315000,9/24/2021,36.2143871,-86.5837955,7,,
265,3905  TUCKER  RD,NASHVILLE,SINGLE FAMILY,187500,9/24/2021,36.21364,-86.8263307,4,,
266,4017  MEADOW  RD,NASHVILLE,SINGLE FAMILY,266000,9/10/2021,36.2135353,-86.8402109,4,,
267,520  RALIEGH  DR,HERMITAGE,DUPLEX,709500,9/23/2021,36.2135345,-86.5904456,7,,
268,517  RALIEGH  DR,HERMITAGE,DUPLEX,709500,9/23/2021,36.2130807,-86.5898474,7,,
269,528  RALIEGH  DR,HERMITAGE,DUPLEX,709500,9/23/2021,36.2130117,-86.5903992,7,,
270,504  YOKLEY  RD,NASHVILLE,SINGLE FAMILY,250000,9/10/2021,36.2123676,-86.789801,4,,
271,1429  ARDEE  AVE,NASHVILLE,SINGLE FAMILY,398000,9/1/2021,36.2122952,-86.7150908,6,,
272,104   DUELER  DR,HERMITAGE,SINGLE FAMILY,374500,9/8/2021,36.2121564,-86.5834035,7,,
273,1452  MCALPINE  AVE,NASHVILLE,SINGLE FAMILY,440000,9/2/2021,36.2118152,-86.7125907,6,,
274,4544  ANDREW JACKSON  PKWY,HERMITAGE,SINGLE FAMILY,317000,9/24/2021,36.2117787,-86.5991867,7,,
275,525  FRANKFORT  DR,HERMITAGE,SINGLE FAMILY,334000,9/1/2021,36.2113483,-86.5959556,7,,
276,2812  STOKERS  LN N,NASHVILLE,SINGLE FAMILY,364000,9/8/2021,36.2109264,-86.8128156,4,,
277,2529  SLAYDON  DR,NASHVILLE,SINGLE FAMILY,350000,9/13/2021,36.2108891,-86.7521459,6,,
278,173  BROOKE CASTLE  DR,HERMITAGE,RESIDENTIAL CONDO,174000,9/10/2021,36.2101491,-86.5903206,7,,
279,1263  N AVONDALE  CIR,NASHVILLE,SINGLE FAMILY,490000,9/13/2021,36.2100379,-86.7803017,4,,
280,3516  GOLF  ST,NASHVILLE,SINGLE FAMILY,400000,9/2/2021,36.2097453,-86.7225198,6,,
281,4004  ENCHANTED  WAY,NASHVILLE,SINGLE FAMILY,290000,9/24/2021,36.2093567,-86.8620843,4,,
282,0  BRICK CHURCH  PIKE,NASHVILLE,VACANT RURAL LAND,500000,9/27/2021,36.21103,-86.778897,5,,
283,3718  INGLEWOOD  CIR S,NASHVILLE,SINGLE FAMILY,545000,9/27/2021,36.2084038,-86.7199257,6,,
284,5005  ROWENA  DR,HERMITAGE,SINGLE FAMILY,260000,9/17/2021,36.2083663,-86.5850639,7,,
285,2042  OAKWOOD  AVE,NASHVILLE,SINGLE FAMILY,325000,9/3/2021,36.2083028,-86.7524246,6,,
286,4409  JUNEAU  DR,HERMITAGE,SINGLE FAMILY,300200,9/17/2021,36.2079053,-86.6067317,7,,
287,4409  JUNEAU  DR,HERMITAGE,SINGLE FAMILY,314000,9/20/2021,36.2079053,-86.6067317,7,,
288,639  DENVER  DR,HERMITAGE,SINGLE FAMILY,375000,9/15/2021,36.2078735,-86.5988715,7,,
289,338  QUEEN  AVE,NASHVILLE,DUPLEX,615000,9/21/2021,36.2076403,-86.7596675,6,,
290,209 B  DUKE  ST,NASHVILLE,RESIDENTIAL CONDO,445000,9/16/2021,36.2076086,-86.7647729,6,,
291,524  NORTON  AVE,NASHVILLE,SINGLE FAMILY,390000,9/15/2021,36.2069963,-86.7546402,6,,
292,3819  MOSS ROSE  DR,NASHVILLE,SINGLE FAMILY,516500,9/3/2021,36.2069637,-86.7013697,6,,
293,7025  BONNAMERE  DR,HERMITAGE,SINGLE FAMILY,300000,9/20/2021,36.2069349,-86.6362112,7,,
294,209  PRINCE  AVE,NASHVILLE,DUPLEX,615000,9/21/2021,36.2068185,-86.7652485,6,,
295,377  MONACO  DR,HERMITAGE,RESIDENTIAL CONDO,209900,9/21/2021,36.206764,-86.613684,7,,
296,2908  SHADOW  LN,NASHVILLE,SINGLE FAMILY,407500,9/7/2021,36.2066322,-86.7031784,6,,
297,210  BONNACLIFF  CT,HERMITAGE,SINGLE FAMILY,440000,9/22/2021,36.206447,-86.6308956,7,,
298,500  WESLEY  AVE,NASHVILLE,SINGLE FAMILY,315000,9/29/2021,36.205901,-86.7572128,6,,
299,4258  SWEDEN  DR,HERMITAGE,SINGLE FAMILY,290000,9/8/2021,36.2058189,-86.6179683,7,,
300,401  RACHELS  CT W,HERMITAGE,ZERO LOT LINE,195000,9/2/2021,36.2056243,-86.6047579,7,,
301,705  RACHELS  TRL,HERMITAGE,ZERO LOT LINE,211500,9/10/2021,36.2054241,-86.6054018,7,,
302,916 A THOMAS  AVE,NASHVILLE,RESIDENTIAL CONDO,424900,9/19/2021,36.2052875,-86.7426588,6,,
303,4828  LEESA ANN  LN,HERMITAGE,SINGLE FAMILY,265000,9/9/2021,36.2050973,-86.587601,7,,
304,1721  LUTON  ST,NASHVILLE,SINGLE FAMILY,235000,9/13/2021,36.2048548,-86.7671094,6,,
305,696  BELGIUM  DR,HERMITAGE,SINGLE FAMILY,251100,9/9/2021,36.2045187,-86.5970589,7,,
306,1112 B  MCGAVOCK  PIKE,NASHVILLE,RESIDENTIAL CONDO,549900,9/15/2021,36.2043625,-86.7364611,6,,
307,904  COINTREAU  DR,HERMITAGE,SINGLE FAMILY,355000,9/7/2021,36.2042747,-86.6004082,7,,
308,318  BONNAHURST  DR,HERMITAGE,SINGLE FAMILY,260000,9/3/2021,36.2039349,-86.630423,7,,
309,2211  BERRYWOOD  RD,NASHVILLE,SINGLE FAMILY,420000,9/10/2021,36.203824,-86.7119852,6,,
310,530   EDWIN  ST,NASHVILLE,RESIDENTIAL CONDO,459300,9/17/2021,36.2034351,-86.7550335,6,,
311,530   EDWIN  ST,NASHVILLE,RESIDENTIAL CONDO,459500,9/10/2021,36.2034351,-86.7550335,6,,
312,530   EDWIN  ST,NASHVILLE,RESIDENTIAL CONDO,448600,9/15/2021,36.2034351,-86.7550335,6,,
313,2400   LLOYD  AVE,NASHVILLE,RESIDENTIAL CONDO,315000,9/10/2021,36.2033332,-86.8309183,4,,
314,1124 B  LELAND  AVE,NASHVILLE,RESIDENTIAL CONDO,445000,9/8/2021,36.2033263,-86.7357802,6,,
315,2108  GENEIVA  DR,NASHVILLE,SINGLE FAMILY,370000,9/16/2021,36.2032927,-86.7204366,6,,
316,2104  GENEIVA  DR,NASHVILLE,SINGLE FAMILY,369900,9/15/2021,36.2032363,-86.7199257,6,,
317,4309  ANDREW JACKSON  PKWY,HERMITAGE,DUPLEX,325000,9/23/2021,36.2031336,-86.606521,7,,
318,2607   ALPINE PARK  AVE,NASHVILLE,RESIDENTIAL CONDO,501000,9/24/2021,36.2030252,-86.8282977,4,,
319,2613   ALPINE PARK  AVE,NASHVILLE,RESIDENTIAL CONDO,430000,9/9/2021,36.203006,-86.8282778,4,,
320,2909  DAVIS  AVE,NASHVILLE,SINGLE FAMILY,550000,9/16/2021,36.2029005,-86.7371386,6,,
321,1717  HANOVER  RD,NASHVILLE,SINGLE FAMILY,417900,9/1/2021,36.2027822,-86.720358,6,,
322,3724  MOSS ROSE  DR,NASHVILLE,DUPLEX,375000,9/9/2021,36.2025645,-86.6977324,6,,
323,2909  BRANCH  CT,NASHVILLE,SINGLE FAMILY,375000,9/17/2021,36.2025227,-86.7263714,6,,
324,2909 A  BRANCH  CT,NASHVILLE,RESIDENTIAL CONDO,375000,9/17/2021,36.2025227,-86.7263714,6,,
325,2909 B  BRANCH  CT,NASHVILLE,VACANT RESIDENTIAL LAND,375000,9/17/2021,36.2025227,-86.7263714,6,,
326,1414  HUFFINE  ST,NASHVILLE,SINGLE FAMILY,650000,9/15/2021,36.2024818,-86.7310873,6,,
327,905  SPAIN  AVE,NASHVILLE,SINGLE FAMILY,250000,9/15/2021,36.2022996,-86.7462143,6,,
328,8416  TERRY  LN,HERMITAGE,SINGLE FAMILY,337000,9/10/2021,36.2020654,-86.6106515,7,,
329,902   SPAIN  AVE,NASHVILLE,RESIDENTIAL CONDO,603600,9/17/2021,36.2019279,-86.7465679,6,,
330,1818  JOY  CIR,NASHVILLE,SINGLE FAMILY,505000,9/1/2021,36.2018246,-86.7607672,6,,
331,2100  STRATFORD  AVE,NASHVILLE,SINGLE FAMILY,310000,9/2/2021,36.2015397,-86.7167418,6,,
332,8310  LUREE  LN,HERMITAGE,SINGLE FAMILY,330000,9/14/2021,36.2014826,-86.6153774,7,,
333,2838  BRONTE  AVE,NASHVILLE,SINGLE FAMILY,270000,9/10/2021,36.2014291,-86.7358875,6,,
334,146  PIEDMONT  AVE,NASHVILLE,SINGLE FAMILY,430000,9/15/2021,36.2013704,-86.719847,6,,
335,2533  MCGINNIS  DR,NASHVILLE,SINGLE FAMILY,499100,9/6/2021,36.2013067,-86.6989711,6,,
336,2419  MCGINNIS  DR,NASHVILLE,SINGLE FAMILY,345000,9/1/2021,36.2011303,-86.7018023,6,,
337,2309  SCOTT  AVE,NASHVILLE,SINGLE FAMILY,585000,9/15/2021,36.2010801,-86.732502,6,,
338,2308 A  SCOTT  AVE,NASHVILLE,RESIDENTIAL CONDO,517000,9/28/2021,36.2010749,-86.7331923,6,,
339,334  MARSHALL  ST,NASHVILLE,SINGLE FAMILY,385000,9/24/2021,36.2010659,-86.763261,6,,
340,2432  RIDGELAND  DR,NASHVILLE,SINGLE FAMILY,390000,9/27/2021,36.2010642,-86.6778896,7,,
341,1140   HARMONY  WAY,NASHVILLE,RESIDENTIAL CONDO,549900,9/7/2021,36.2009948,-86.7535858,6,,
342,1036  BURCHWOOD  AVE,NASHVILLE,RESIDENTIAL CONDO,600000,9/2/2021,36.2009725,-86.7408073,6,,
343,1002  SPAIN  AVE,NASHVILLE,DUPLEX,430000,9/8/2021,36.2007752,-86.7431107,6,,
344,2504  MCGINNIS  DR,NASHVILLE,DUPLEX,375000,9/14/2021,36.2005418,-86.7011928,6,,
345,337  PULLEN  AVE,NASHVILLE,SINGLE FAMILY,389900,9/21/2021,36.2004481,-86.7631918,6,,
346,2170 B ROCK CITY  ST,NASHVILLE,ZERO LOT LINE,363000,9/10/2021,36.2002561,-86.7281073,6,,
347,2300  DUNDEE  LN,NASHVILLE,SINGLE FAMILY,356000,9/22/2021,36.2002172,-86.6840262,7,,
348,2170 A ROCK CITY  ST,NASHVILLE,ZERO LOT LINE,368000,9/15/2021,36.2001879,-86.7281169,6,,
349,1703  LITTON  AVE,NASHVILLE,SINGLE FAMILY,405000,9/21/2021,36.2000176,-86.7219292,6,,
350,5005  BONNALYNN  DR,HERMITAGE,SINGLE FAMILY,286000,9/20/2021,36.1997576,-86.632684,7,,
351,3908  BONNAVISTA  DR,HERMITAGE,SINGLE FAMILY,298500,9/24/2021,36.1995486,-86.6296476,7,,
352,232  BONNALYNN  DR,HERMITAGE,SINGLE FAMILY,305000,9/3/2021,36.1995232,-86.6285644,7,,
353,5002  BONNAVISTA  DR,HERMITAGE,SINGLE FAMILY,290000,9/3/2021,36.1994609,-86.6340063,7,,
354,3106   CURTIS  ST,NASHVILLE,SINGLE FAMILY,306900,9/13/2021,36.1990617,-86.8278585,4,,
355,695  MERCER  DR,HERMITAGE,ZERO LOT LINE,185300,9/27/2021,36.1988871,-86.6006993,7,,
356,1118  DELMAS  AVE,NASHVILLE,SINGLE FAMILY,480000,9/16/2021,36.198845,-86.7391032,6,,
357,1124  RICHARD LEE  CIR,HERMITAGE,SINGLE FAMILY,268900,9/23/2021,36.1987562,-86.5984775,7,,
358,918  WARD  ST,NASHVILLE,SINGLE FAMILY,415100,9/8/2021,36.1977132,-86.7528333,6,,
359,3006   MARTHA  AVE,NASHVILLE,VACANT RESIDENTIAL LAND,160000,9/9/2021,36.1975253,-86.7457387,6,,
360,1406  LISCHEY  AVE,NASHVILLE,SINGLE FAMILY,495000,9/20/2021,36.1973286,-86.7629075,6,,
361,1241  ANDREW DONELSON  DR,HERMITAGE,SINGLE FAMILY,390000,9/9/2021,36.1971646,-86.6050967,7,,
362,800  BLUE RIDGE  DR,NASHVILLE,SINGLE FAMILY,749900,9/3/2021,36.1971167,-86.7566237,6,,
363,1620  PORTER  AVE,NASHVILLE,SINGLE FAMILY,385000,9/22/2021,36.1969385,-86.7243081,6,,
364,1253  ANDREW DONELSON  DR,HERMITAGE,SINGLE FAMILY,362500,9/14/2021,36.1967098,-86.6054907,7,,
365,1616   EMERSON  ST,NASHVILLE,RESIDENTIAL CONDO,343000,9/22/2021,36.1964579,-86.7344829,6,,
366,1609 A CAHAL  AVE,NASHVILLE,SINGLE FAMILY,397500,9/1/2021,36.1961673,-86.734856,6,,
367,2101   PORTER  RD,NASHVILLE,RESIDENTIAL CONDO,650000,9/3/2021,36.1960886,-86.7156804,6,,
368,50   FERN  AVE,NASHVILLE,RESIDENTIAL CONDO,590000,9/15/2021,36.1956299,-86.7769507,4,,
369,1322  MERIDIAN  ST,NASHVILLE,SINGLE FAMILY,540000,9/13/2021,36.1956297,-86.7674628,6,,
370,1329 A  PENNOCK  AVE,NASHVILLE,SINGLE FAMILY,650000,9/8/2021,36.195459,-86.76543,6,,
371,1321  STAINBACK  AVE,NASHVILLE,SINGLE FAMILY,360000,9/17/2021,36.195328,-86.7641249,6,,
372,2401  INGA  ST,NASHVILLE,DUPLEX,408200,9/13/2021,36.1952307,-86.7518906,6,,
373,2401  INGA  ST,NASHVILLE,DUPLEX,439900,9/13/2021,36.1952307,-86.7518906,6,,
374,1315 B  MERIDIAN  ST,NASHVILLE,SINGLE FAMILY,605000,9/13/2021,36.1951065,-86.766913,6,,
375,1311  N 5TH  ST,NASHVILLE,SINGLE FAMILY,275000,9/7/2021,36.1950431,-86.7614152,6,,
376,1527  HAYDEN  DR,NASHVILLE,SINGLE FAMILY,320000,9/3/2021,36.1948703,-86.7145011,6,,
377,1317 A STAINBACK  AVE,NASHVILLE,SINGLE FAMILY,516200,9/20/2021,36.1948649,-86.7640862,6,,
378,0  PORTER  RD,NASHVILLE,RESIDENTIAL CONDO,560000,9/7/2021,36.1947102,-86.7257111,6,,
379,3811  BONNACREEK  DR,HERMITAGE,SINGLE FAMILY,350000,9/2/2021,36.1940436,-86.6342195,7,,
380,2412 A N 16TH  ST,NASHVILLE,RESIDENTIAL CONDO,510000,9/14/2021,36.1939528,-86.736785,6,,
381,119  PORTER  TER,NASHVILLE,RESIDENTIAL CONDO,310300,9/7/2021,36.1937593,-86.7253039,6,,
382,1218 A  STOCKELL  ST,NASHVILLE,RESIDENTIAL CONDO,550000,9/3/2021,36.193593,-86.7689157,6,,
383,1218 B  STOCKELL  ST,NASHVILLE,RESIDENTIAL CONDO,549900,9/20/2021,36.193593,-86.7689157,6,,
384,1509  DUGGER  DR,NASHVILLE,SINGLE FAMILY,395000,9/17/2021,36.1934447,-86.7119459,6,,
385,927  DOUGLAS  AVE,NASHVILLE,SINGLE FAMILY,350000,9/10/2021,36.1931423,-86.7475107,6,,
386,117  CUMBERLAND  TRCE,NASHVILLE,RESIDENTIAL CONDO,240000,9/17/2021,36.193019,-86.67128,7,,
387,1906  MANCHESTER  AVE,NASHVILLE,SINGLE FAMILY,235000,9/15/2021,36.1927744,-86.8364369,4,,
388,1209  PENNOCK  AVE,NASHVILLE,SINGLE FAMILY,255000,9/17/2021,36.1927045,-86.7658135,6,,
389,1533  DOUGLAS  AVE,NASHVILLE,SINGLE FAMILY,395000,9/10/2021,36.1920774,-86.7367555,6,,
390,1127  STOCKELL  ST,NASHVILLE,SINGLE FAMILY,385000,9/23/2021,36.1918878,-86.768523,6,,
391,1125  STAINBACK  AVE,NASHVILLE,SINGLE FAMILY,420000,9/23/2021,36.1917397,-86.7645962,6,,
392,308  AUTUMN CHASE  DR,NASHVILLE,RESIDENTIAL CONDO,325000,9/16/2021,36.191462,-86.6721,7,,
393,4513  RACCOON  TRL,HERMITAGE,SINGLE FAMILY,360000,9/16/2021,36.1913887,-86.5799348,7,,
394,4225  NEW HOPE MEADOW  RD,HERMITAGE,SINGLE FAMILY,485000,9/15/2021,36.1913318,-86.5771952,7,,
395,5217   MOUNTAINBROOK  CIR,HERMITAGE,SINGLE FAMILY,629000,9/9/2021,36.1912287,-86.6440852,7,,
396,5149  MOUNTAINBROOK  CIR,HERMITAGE,SINGLE FAMILY,675000,9/29/2021,36.19107,-86.6406798,7,,
397,1911  HAILEY  AVE,NASHVILLE,SINGLE FAMILY,275000,9/1/2021,36.1909392,-86.8315057,4,,
398,6015  BALTIC  DR,HERMITAGE,SINGLE FAMILY,299100,9/3/2021,36.1908004,-86.6197506,7,,
399,6022  CORTEZ  CT,HERMITAGE,SINGLE FAMILY,200000,9/10/2021,36.1907292,-86.6187265,7,,
400,6022  CORTEZ  CT,HERMITAGE,SINGLE FAMILY,269100,9/13/2021,36.1907292,-86.6187265,7,,
401,1718  COUNTY HOSPITAL  RD,NASHVILLE,SINGLE FAMILY,185000,9/8/2021,36.1903435,-86.8364496,4,,
402,6016  BALTIC  DR,HERMITAGE,SINGLE FAMILY,285000,9/9/2021,36.1902932,-86.6197899,7,,
403,606   EVANSTON  AVE,NASHVILLE,RESIDENTIAL CONDO,600000,9/17/2021,36.190224,-86.7603311,6,,
404,877  CARTER  ST,NASHVILLE,SINGLE FAMILY,475000,9/23/2021,36.1900609,-86.7557596,6,,
405,953  SHARPE  AVE,NASHVILLE,SINGLE FAMILY,605000,9/2/2021,36.1900404,-86.7502997,6,,
406,2305  18TH  AVE N,NASHVILLE,SINGLE FAMILY,350000,9/2/2021,36.1899274,-86.8124821,3,,
407,1018  STOCKELL  ST,NASHVILLE,SINGLE FAMILY,639900,9/22/2021,36.1898754,-86.7693083,6,,
408,1413  KELLOW  ST,NASHVILLE,DUPLEX,350000,9/7/2021,36.189689,-86.811758,3,,
409,1002  SHARPE  AVE,NASHVILLE,SINGLE FAMILY,430000,9/27/2021,36.1895897,-86.7500837,6,,
410,1624  JACKSONS VALLEY  PL,HERMITAGE,SINGLE FAMILY,425000,9/16/2021,36.1895811,-86.6035602,7,,
411,1016  N 6TH  ST,NASHVILLE,SINGLE FAMILY,640000,9/15/2021,36.1894107,-86.7614937,6,,
412,1012  N 6TH  ST,NASHVILLE,SINGLE FAMILY,461500,9/23/2021,36.1891576,-86.761533,6,,
413,1408  WALSH  ST,NASHVILLE,SINGLE FAMILY,387000,9/23/2021,36.1891398,-86.8115406,3,,
414,850  ROSE PARK  DR,NASHVILLE,SINGLE FAMILY,385000,9/24/2021,36.1883664,-86.7075034,6,,
415,905  N 2ND  ST,NASHVILLE,SINGLE FAMILY,307500,9/3/2021,36.1879603,-86.7705648,6,,
416,905  N 2ND  ST,NASHVILLE,SINGLE FAMILY,324900,9/3/2021,36.1879603,-86.7705648,6,,
417,1725 A  MCKINNEY  AVE,NASHVILLE,RESIDENTIAL CONDO,415000,9/1/2021,36.1875214,-86.8144179,3,,
418,50  WATERS  AVE,NASHVILLE,RESIDENTIAL CONDO,500000,9/28/2021,36.1863574,-86.7260597,6,,
419,1618  BENJAMIN  ST,NASHVILLE,SINGLE FAMILY,420000,9/10/2021,36.1862152,-86.7389068,6,,
420,946  RIVERSIDE  DR,NASHVILLE,RESIDENTIAL CONDO,495000,9/8/2021,36.1860314,-86.7259338,6,,
421,1423  SUMNER  AVE,NASHVILLE,SINGLE FAMILY,745000,9/24/2021,36.1859854,-86.7421481,6,,
422,2010 B BENJAMIN  ST,NASHVILLE,RESIDENTIAL CONDO,696000,9/18/2021,36.1858329,-86.7329911,6,,
423,1822 B  5TH  AVE N,NASHVILLE,VACANT RESIDENTIAL LAND,729000,9/8/2021,36.1853912,-86.794864,9,,
424,805 B N 12TH  ST,NASHVILLE,RESIDENTIAL CONDO,325000,9/1/2021,36.1852175,-86.7458607,6,,
425,3521  GLENFALLS  DR,HERMITAGE,SINGLE FAMILY,305600,9/24/2021,36.1851663,-86.5853151,7,,
426,908  W EASTLAND  AVE,NASHVILLE,SINGLE FAMILY,617000,9/15/2021,36.185014,-86.7571343,6,,
427,210  FALL  ST,NASHVILLE,SINGLE FAMILY,929000,9/17/2021,36.18481,-86.7331896,6,,
428,3309  PANORAMA  DR,NASHVILLE,SINGLE FAMILY,140000,9/20/2021,36.1845762,-86.8440925,4,,
429,3309  PANORAMA  DR,NASHVILLE,SINGLE FAMILY,202400,9/20/2021,36.1845762,-86.8440925,4,,
430,1408  WOODCHIMES  CT,HERMITAGE,SINGLE FAMILY,262000,9/1/2021,36.1841806,-86.6007859,7,,
431,1910  FRANKLIN  AVE,NASHVILLE,SINGLE FAMILY,455000,9/15/2021,36.184016,-86.7351544,6,,
432,4058  FARMINGHAM WOODS  DR,HERMITAGE,SINGLE FAMILY,350000,9/13/2021,36.1840037,-86.5861428,7,,
433,3244  HINKLE  DR,NASHVILLE,SINGLE FAMILY,180000,9/24/2021,36.1833395,-86.8373486,4,,
434,2717  EASTLAND  AVE,NASHVILLE,SINGLE FAMILY,685000,9/2/2021,36.1831032,-86.7117886,6,,
435,2752  WINDEMERE  DR,NASHVILLE,SINGLE FAMILY,450000,9/7/2021,36.1830081,-86.6836721,7,,
436,2705  ASPEN  DR,NASHVILLE,SINGLE FAMILY,375000,9/20/2021,36.1825694,-86.8216942,3,,
437,3235  LAGRANGE  DR,NASHVILLE,SINGLE FAMILY,205000,9/2/2021,36.1824924,-86.8406361,4,,
438,1425  STRATTON  AVE,NASHVILLE,DUPLEX,383600,9/1/2021,36.1824663,-86.7428357,6,,
439,3242  CROWE  DR,NASHVILLE,SINGLE FAMILY,332000,9/8/2021,36.1823775,-86.842687,4,,
440,5902  COLCHESTER  DR,HERMITAGE,SINGLE FAMILY,333500,9/20/2021,36.1823189,-86.5849998,7,,
441,1701  6TH  AVE N,NASHVILLE,RESIDENTIAL CONDO,480000,9/7/2021,36.1818877,-86.7941674,9,,
442,1826  16TH  AVE N,NASHVILLE,SINGLE FAMILY,320500,9/7/2021,36.1818612,-86.8102851,3,,
443,617   NEILL  AVE,NASHVILLE,SINGLE FAMILY,799000,9/17/2021,36.1817852,-86.7597222,6,,
444,418  HART  AVE,NASHVILLE,SINGLE FAMILY,464000,9/27/2021,36.1817075,-86.7562898,6,,
445,3229  PANORAMA  DR,NASHVILLE,SINGLE FAMILY,158000,9/10/2021,36.1816634,-86.8413158,4,,
446,203  BERRY  ST,NASHVILLE,SINGLE FAMILY,540000,9/16/2021,36.1816012,-86.7712127,6,,
447,504  N 17TH  ST,NASHVILLE,SINGLE FAMILY,650000,9/17/2021,36.1815991,-86.7389853,6,,
448,1618 B 6TH  AVE N,NASHVILLE,SINGLE FAMILY,687800,9/24/2021,36.1812447,-86.7931066,9,,
449,1813  MCEWEN  AVE,NASHVILLE,SINGLE FAMILY,725000,9/17/2021,36.1809632,-86.7349229,6,,
